German Occupation Titles,English Translation
Gutsverwalter,Estate Manager
Gymnasialprofessor,Grammar School Professor
Gymnasialschüler,Grammar School Pupil
Gymnastiklehrer,Gym Teacher
Hafenarbeiter,Harbour Worker
Hammerschmied,Hammerman
Handarbeiter,Workman
Handels Ingenieur,Commercial Engeneer
Handelsagent,Commercial Agent
Handelsangestellt.,Commercial Employee
Handelsdirektor,Commercial Manager
Handelsgehilfe,Commercial Aide
Handelsmann,"Merchant, Dealer"
Handelsvertreter,Sales Agent
Händler,"Merchant, Dealer"
Handlungsgehilfe,Shop Aide
Handsetzter,Manual Typesetter
Handshuhmacher,Glover
Handweber,Manual Weaver
Harmonikamacher,Harmonica Manufacturer
Hasenfarmer,Hare Farmer?
Hausdiener,(Man-) Servant
Hausfrau,Housewife / homemaker
Hausgehilfin,Housemaid / domestic
Hausmeister,"Concierge, Janitor"
Hausverwalter,Caretaker 
Hauswirt,Landlord
Heilpraktiker,Healer
Heizer,Boiler / furnace stoker
Heizergehilfe,Assistant Stoker
Heizermeister,Heating specialist
Heizungsinstallateur,Heating Plumber
Heizungsmonteur,Heaters Assembler
Heizungsschlosser,Heating Locksmith
Herrenwäscher,Launderer For Men
Hilfsgeologe,Geologist's helper
Hilfskraft,Temporary worker
"Hilfskraft
  bei Topogr. Vermess.","Temporary worker for topographic
  works"
Hirt,"Herdsman, Herder"
Hobler,Planing Machine Operator
Hoch- und Tiefbauer,Civil and Building Constructor
Hoch und Tiefbautechniker,Civil and Building Technician
Hochbauingenieur,Civil engineer
"Hochschule
  f. Welthandel",High school for world trade
Hochschüler,College Student
Holzarbeiter,"Logger, Woodworker"
Holz-Beamter,Wood Functionary
Holzbildhauer,Wood Sculptor
Holzdreher,Wood Turner
Holzer,Timbermann?
Holzfachmann,Wood / lumber technician
Holzfäller,"Woodcutter, Logger"
Holzhacker,Lumberjack
Holzhändler,Lumber Trader
Holzindustrieller,Lumber Industrialist
Holzkünstler,Wood Artist
"Holzmanipulant
  u. Expedient","Responsible for handling and
  expediting wood"
Holzmann,Logger?
Holzproduzent,Lumber Producer
Holzsachverständiger,Wood Expert
Holzsäge-Arb.,Wood Saw Worker
Holzschneider,Xylographer
Holzschnitzer,Wood Carver
Holzschumacher,Clogger
Holzsortierer,Wood sorter
Holzspezialist,Wood Specialist
Holztechnik.,Wood Technician
"Holzworker
  Bohrgehehilfe",Wood drilling worker
Hotelbesitzer,Hotel Owner
Hoteldirekt.,Hotel Manager
Hotelier,Hotelier
Hotelportier,Hotel Janitor
Hufschmied,"Horseshoer, Blacksmith"
Hutarbeiter,Hatter
Hutmacher,Hat macher
Hüttenarbeiter,"Smelter, Steelworker"
Hydr. Installateur,Hydraulics Plumber
Hydr. Monteur,Hydraulics Assembler
Hydrauliker,Hydraulics Specialist
Hydraulik-Schl.,Hydraulics Locksmith
Hydro Techn.,Hydraulics Technician
Imker,"Apiculturist, Bee Keeper"
Industriekaufmann,Industrial Merchant
Industrieller,Industrialist
Industriezeichner,Industrial Draftsman
Infanterie Hauptmann,Infantry Captain
Ing. Agronom,Agronomist Engeneer
Ing. Architekt,Architect Engeneer
Ing. El. Chem,Electro Chemist Engeneer
Ing. Elektr.,Electro Engeneer
Ing. Kaufm.,Commercial Engeneer
Ing. Konstrukteur,Builder Engeneer
